id_venda;id_usuario;id_produto;quantidade;data_venda
0;6264;792;5;2022-09-22 01:33:01
1;4360;152;3;2021-11-27 12:34:01
2;6308;764;4;2024-09-03 09:13:25
3;4027;529;5;2023-03-22 09:04:29
4;4466;542;4;2022-11-07 22:59:51
5;5920;882;2;2024-07-15 00:47:49
6;5606;318;1;2023-07-14 20:35:59
7;6204;274;5;2025-08-06 09:09:20
8;1192;473;1;2025-04-23 09:51:26
9;5058;396;1;2025-04-11 05:39:13
10;999;763;2;2024-11-23 17:16:44
11;8742;941;5;2023-02-09 07:34:59
12;324;478;1;2025-05-29 14:45:55
13;2999;549;3;2023-07-18 03:52:15
14;3265;396;2;2022-06-17 11:39:28
15;1884;925;1;2022-01-27 18:18:50
16;5586;939;3;2025-01-25 01:53:41
17;9329;496;5;2024-05-20 01:19:30
18;6799;46;3;2024-02-07 23:57:17
19;7057;176;4;2024-03-17 18:46:39
20;990;886;4;2022-12-19 18:58:38
21;6128;932;1;2025-06-13 05:59:56
22;7906;885;2;2022-03-01 01:02:38
23;7013;357;2;2022-06-19 05:32:38
24;7622;884;3;2025-02-10 17:30:34
25;3914;922;3;2022-03-22 22:14:47
26;7389;415;1;2023-03-10 09:17:46
27;5505;341;3;2021-10-10 20:01:34
28;3278;18;1;2025-02-22 02:11:14
29;3490;246;3;2025-07-03 06:47:40
30;1325;359;5;2023-05-17 08:09:43
31;5771;854;5;2024-09-14 23:59:10
32;6280;680;2;2021-12-23 07:05:53
33;7987;422;4;2022-07-24 03:31:07
34;4318;393;5;2023-06-27 10:29:06
35;7563;879;3;2023-09-07 05:31:42
36;2114;421;1;2025-09-09 18:31:34
37;1525;779;5;2025-03-06 01:45:56
38;4365;465;2;2024-11-30 00:47:14
39;1001;520;1;2024-07-31 20:16:57
40;476;840;5;2023-09-21 04:47:35
41;1969;288;4;2021-12-08 06:28:42
42;784;960;5;2024-09-28 05:58:29
43;7544;137;1;2025-06-02 11:00:25
44;8914;984;2;2023-04-04 05:08:52
45;1093;96;2;2022-11-19 08:29:54
46;1318;400;4;2023-01-14 09:01:17
47;8988;963;1;2025-07-15 01:39:04
48;8541;424;2;2024-01-10 21:13:35
49;7172;385;5;2025-09-06 08:20:51
50;7229;533;5;2022-04-19 10:01:30
51;9035;234;3;2021-12-26 08:30:43
52;8788;282;2;2021-10-28 03:42:44
53;8096;449;3;2024-02-17 13:42:53
54;3262;105;5;2024-03-12 21:50:43
55;9465;321;1;2023-09-16 19:41:36
56;2752;730;1;2023-10-31 13:21:19
57;3493;851;3;2024-10-30 10:00:18
58;3392;720;4;2022-12-17 03:18:35
59;8369;282;2;2022-05-23 10:46:17
60;2301;477;5;2023-01-10 03:55:13
61;7150;824;2;2024-01-07 22:41:18
62;9979;974;1;2022-06-16 03:31:29
63;2075;212;2;2022-10-03 19:55:51
64;9257;517;5;2024-08-19 03:50:09
65;4221;616;3;2025-06-26 19:00:50
66;7516;633;5;2024-02-19 22:37:45
67;5706;824;3;2023-03-03 12:43:39
68;1008;911;5;2022-06-15 23:04:53
69;4018;264;4;2023-04-01 09:42:08
70;9318;944;1;2021-12-01 18:09:08
71;4559;201;3;2022-01-10 20:58:33
72;7057;302;2;2025-03-14 07:21:00
73;9609;927;5;2024-07-23 06:48:40
74;8438;465;4;2022-09-29 01:23:30
75;2407;607;2;2024-06-10 22:44:20
76;6692;504;5;2024-10-21 10:39:54
77;474;776;3;2023-06-23 10:19:11
78;8498;464;5;2023-08-26 17:15:04
79;1384;722;4;2023-09-28 21:17:09
80;9797;37;2;2023-07-14 05:16:10
81;9856;111;2;2024-10-30 09:28:58
82;7826;845;5;2022-06-30 20:50:20
83;5410;922;5;2023-02-07 22:15:31
84;4323;883;1;2024-03-02 07:01:54
85;722;678;1;2025-06-03 05:35:03
86;6432;7;5;2025-02-08 14:22:49
87;7682;130;4;2023-09-09 06:00:09
88;2832;968;1;2023-08-06 14:37:18
89;1912;544;1;2025-06-30 16:31:53
90;2370;20;4;2023-03-27 18:34:08
91;3033;95;4;2022-02-18 03:31:25
92;6574;149;1;2023-05-14 20:05:13
93;1504;749;2;2025-02-14 10:05:17
94;7238;567;2;2024-07-24 01:09:06
95;1163;517;4;2022-10-14 15:12:18
96;1191;857;4;2021-11-28 02:43:42
97;2429;352;1;2025-08-17 03:17:10
98;667;219;3;2025-07-30 00:20:04
99;8345;161;1;2025-09-01 22:23:01
100;6117;567;1;2021-10-17 01:04:51
101;8090;712;5;2022-03-26 11:34:40
102;7004;891;5;2024-03-08 17:38:14
103;7831;289;3;2022-04-30 12:52:49
104;2619;439;5;2024-07-26 05:36:33
105;637;828;4;2023-07-31 01:07:57
106;5616;256;5;2023-05-29 07:52:48
107;5110;88;4;2022-03-05 12:47:16
108;3516;927;2;2021-11-17 16:27:44
